,Text,Date
105,RT @soitfuckingoes: feminism leaving my body when i listen to better than revenge (taylor's version) https://t.co/XOW6eJ1V0Q,2023-05-07 06:08:24+00:00
106,RT @Ambar_SIFF_MRA: Hindu mahasabha chief doesn't care about false 498a cases but talks about dowry and forgets that giving dowry is also a…,2023-05-07 06:08:01+00:00
107,"RT @MiRaebel: You are right. We are afraid to be silenced, deplatformed, of losing our jobs, children and overall rights. Please stop pushi…",2023-05-07 06:07:59+00:00
108,@jocc_godbody24 @Christo68357610 @IAMLEGENDARYMO @yourfavcreole BW DO NOT HATE BM but if they are choosing feminism… https://t.co/kRqiuRH5p2,2023-05-07 06:07:31+00:00
109,RT @JamalThaRebel: salah satu contoh feminism ni tak guna ambik contoh peperangan Ukraine &amp; Russia. men can't leave &amp; dying everyday while…,2023-05-07 06:07:22+00:00
110,"@MenInBlackNZ @JamesOnekaka ""cultural challenges""  ""rebranding""
FFS
I've got an idea. Get rid of med and law and st… https://t.co/fGITPTTL6t",2023-05-07 06:07:22+00:00
111,RT @JamalThaRebel: salah satu contoh feminism ni tak guna ambik contoh peperangan Ukraine &amp; Russia. men can't leave &amp; dying everyday while…,2023-05-07 06:06:56+00:00
112,Feminism literally means equality but a lot of people think it's just anti-men.,2023-05-07 06:06:41+00:00
113,"RT @LWCSBoston: After earning her PhD, Grace Lee Boggs struggled to find sustaining work &amp; housing due to racism. She moved to #Detroit &amp; m…",2023-05-07 06:06:09+00:00
114,"RT @its_daqueen: Well, that's to tell you that feminism is just common sense and none of these roles are ""natural"" and ""God made"". They are…",2023-05-07 06:05:46+00:00
115,"RT @JDHaltigan: Third-wave, delusional radical feminism is at the heart of the cultural sickness we are living through.",2023-05-07 06:05:46+00:00
116,RT @BakraofDv: @Bornakang With growing #Feminism  women are becoming careless nowdays,2023-05-07 06:05:01+00:00
117,"@jocc_godbody24 @Christo68357610 @IAMLEGENDARYMO @yourfavcreole Actually, white women built feminism off of the bla… https://t.co/jyhkAvkiiO",2023-05-07 06:04:01+00:00
